06-26 14:55:16.003 |-INFO  o.h.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.1.6.Final
06-26 14:55:17.001 |-INFO  c.a.t.g.business.ReportApplication:655 - The following profiles are active: dev
06-26 14:55:19.534 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessauthority.dao.AccessAuthorityMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetParamMapper' and 'com.anjiplus.template.gaea.business.modules.datasetparam.dao.DataSetParamMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSourceMapper' and 'com.anjiplus.template.gaea.business.modules.datasource.dao.DataSourceMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetMapper' and 'com.anjiplus.template.gaea.business.modules.dataset.dao.DataSetMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetTransformMapper' and 'com.anjiplus.template.gaea.business.modules.datasettransform.dao.DataSetTransformMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardWidgetMapper' and 'com.anjiplus.template.gaea.business.modules.dashboardwidget.dao.ReportDashboardWidgetMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportMapper' and 'com.anjiplus.template.gaea.business.modules.report.dao.ReportMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictItemMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictItemMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaDictMapper' and 'com.anjiplus.template.gaea.business.modules.dict.dao.GaeaDictMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportExcelMapper' and 'com.anjiplus.template.gaea.business.modules.reportexcel.dao.ReportExcelMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessRoleAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessrole.dao.AccessRoleAuthorityMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'gaeaFileMapper' and 'com.anjiplus.template.gaea.business.modules.file.dao.GaeaFileMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardMapper' and 'com.anjiplus.template.gaea.business.modules.dashboard.dao.ReportDashboardMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.538 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportShareMapper' and 'com.anjiplus.template.gaea.business.modules.reportshare.dao.ReportShareMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.547 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessUserMapper' and 'com.anjiplus.template.gaea.business.modules.accessuser.dao.AccessUserMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.548 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessUserRoleMapper' and 'com.anjiplus.template.gaea.business.modules.accessuser.dao.AccessUserRoleMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.594 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'accessAuthorityMapper' and 'com.anjiplus.template.gaea.business.modules.accessauthority.dao.AccessAuthorityMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.598 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetParamMapper' and 'com.anjiplus.template.gaea.business.modules.datasetparam.dao.DataSetParamMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.599 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSourceMapper' and 'com.anjiplus.template.gaea.business.modules.datasource.dao.DataSourceMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.601 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetMapper' and 'com.anjiplus.template.gaea.business.modules.dataset.dao.DataSetMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.603 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'dataSetTransformMapper' and 'com.anjiplus.template.gaea.business.modules.datasettransform.dao.DataSetTransformMapper' mapperInterface. Bean already defined with the same name!
06-26 14:55:19.603 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardWidgetMapper' and 'com.anjiplus.template.gaea.business.modules.dashboardwidget.dao.ReportDashboardWidgetMapper' mapperInterface. Bean already defined with the same name!
